F0,F1,F6,F12,F14,F15,F16,F26,F72,F99,S,Busy,Exting,Month,Car,Nozzle,Flow,Long
1718774,1146,1,8,0,0,0,1,0,0,15,221,43,12,1,1,3.5,0
1718775,1146,1,8,0,0,0,7,0,0,10,29,10,12,1,1,3.5,0
1718776,1146,1,8,0,0,0,4,0,0,5,19,3,12,1,1,3.5,0
1718777,1146,1,1,1,1,4,4,0,0,26,175,72,5,3,3,10.5,0
1718778,1146,1,1,1,1,5,9,0,0,24,173,62,5,3,2,7.0,0
1718779,1146,0,1,1,1,5,28,0,0,80,211,65,5,3,3,10.5,0
1718780,1146,1,8,0,0,0,3,0,0,1,15,3,5,1,1,3.5,0
1718781,1146,1,8,0,0,0,3,0,0,20,34,12,5,1,1,3.5,0
1718782,1146,1,8,0,0,0,2,0,0,25,23,6,5,1,1,3.5,0
1712265,1146,1,1,2,1,5,8,8,1,6,58,22,3,4,1,3.5,0
1718784,1146,1,1,1,1,4,3,0,0,48,103,47,5,3,2,7.0,0
1718785,1146,1,1,1,1,5,3,0,0,30,98,24,5,4,2,7.0,0
1718786,1146,1,3,0,0,0,8,0,0,1,11,3,5,3,1,3.5,0
1718787,1146,0,8,0,0,0,7,0,0,35,178,21,5,1,1,3.5,0
1718788,1146,0,3,0,0,0,19,0,0,18,56,6,5,2,1,3.5,0
1718789,1146,1,1,2,1,4,1,0,0,150,239,78,5,3,4,14.0,0
1718790,1146,0,1,1,1,5,9,0,0,36,59,9,5,3,2,7.0,0
1541837,1144,1,1,5,1,2,2,0,1,18,48,22,1,7,1,3.5,0
1718792,1146,0,1,2,1,4,10,0,0,100,191,63,5,4,2,7.0,0
1718793,1146,1,1,1,1,5,8,0,0,96,90,16,5,2,2,7.0,0
1718794,1146,0,8,0,0,0,4,0,0,500,50,17,5,1,1,3.5,0
1718795,1146,1,8,0,0,0,3,0,0,5,20,7,5,1,1,3.5,0
1718796,1146,0,1,1,1,5,22,0,0,36,118,70,5,3,2,7.0,0
1718797,1146,1,1,2,2,3,9,9,0,16,10,0,5,0,0,0.0,0
1718714,1146,0,1,1,1,5,4,0,1,5,45,22,4,2,1,3.5,0
1718799,1146,0,3,0,0,0,8,0,0,5,30,4,5,2,1,3.5,0
1718800,1146,1,8,0,0,0,12,0,0,10,52,14,5,1,1,3.5,0
1718801,1146,1,8,0,0,0,6,0,0,4,23,9,5,1,1,3.5,0
1718802,1146,1,1,1,1,5,2,0,0,12,51,17,5,3,2,7.0,0
1718803,1146,1,1,3,1,3,6,9,0,1,10,0,3,0,0,0.0,0
1718804,1146,0,8,0,0,0,2,0,0,20,28,11,5,1,1,3.5,0
1718805,1146,0,8,0,0,0,5,0,0,50,100,29,5,2,1,3.5,0
1718806,1146,1,3,0,0,0,3,0,0,3,14,3,5,2,1,6.0,0
1718807,1146,0,8,0,0,0,9,0,0,50,38,9,5,1,1,3.5,0
1712288,1146,1,1,17,16,2,4,8,1,5,44,22,11,6,1,3.5,0
1718809,1146,1,1,1,1,5,9,0,0,15,50,25,5,1,1,3.5,0
1718810,1146,1,1,1,1,5,1,0,0,12,161,52,5,2,2,7.0,0
1718811,1146,0,8,0,0,0,8,0,0,10,47,13,5,1,1,3.5,0
1718812,1146,1,1,1,1,4,4,0,0,10,98,31,5,3,2,7.0,0
1720106,1146,1,1,1,1,2,2,0,1,30,39,22,12,2,1,3.5,0
1717968,1146,0,1,1,1,5,24,4,0,42,280,120,8,3,3,10.5,0
1718815,1146,0,8,0,0,0,1,0,0,6,15,3,5,2,1,3.5,0
1718816,1146,0,8,0,0,0,10,0,0,30,40,18,5,1,1,3.5,0
