F1;F6;F193;F12;F14;F15;F16;F26;F72;F99;S;Busy;Exting;Decade;Car;Nozzle;Flow;Long
1146;1;3;2;22;11;3;1;0;0;3;10;0;37;4;0;0;0
1146;1;2;2;3;1;3;4;0;0;4;30;15;37;5;1;3,5;0
1146;1;2;2;5;1;3;2;0;0;1;10;0;37;3;0;0;0
1146;1;0;6;0;0;0;2;0;0;5;18;3;37;2;1;3,5;0
1146;1;0;6;0;0;0;7;0;0;2;20;3;1;1;1;3,5;0
1146;0;2;2;2;1;5;9;0;0;64;269;71;1;4;2;7;0
1146;0;1;2;1;1;5;15;0;0;24;120;38;1;3;1;3,5;0
1146;1;1;2;1;1;4;6;0;0;120;349;108;1;5;5;31,5;0
1146;0;2;2;2;1;2;6;0;0;100;371;87;1;5;4;14;0
1146;0;2;2;2;1;3;15;0;0;10;59;16;1;1;1;3,5;0
1146;0;2;2;2;1;3;5;0;0;60;165;60;1;5;2;7;0
1146;0;1;2;1;1;5;2;0;0;150;276;108;1;3;2;14;0
1146;1;1;2;1;1;3;3;0;0;18;45;10;1;2;2;7;0
1146;1;0;6;0;0;0;3;0;0;4;21;9;1;2;1;3,5;0
1146;0;1;2;2;1;5;6;1;0;80;143;52;1;3;2;7;0
1146;1;3;2;14;10;3;6;0;1;5;23;3;1;8;1;3,5;0
1146;1;0;6;0;0;0;3;0;0;10;13;3;1;2;1;3,5;0
1146;1;0;5;0;0;0;5;0;0;1;10;0;1;1;0;0;0
1146;1;2;2;1;1;5;4;0;0;2;34;8;1;2;1;3,5;0
1146;1;2;3;9;1;3;3;0;0;1;10;0;1;3;0;0;0
1146;1;1;2;1;1;5;4;0;0;6;41;9;1;3;1;3,5;0
1146;0;2;2;1;1;5;5;0;0;8;73;36;1;4;1;3,5;0
1146;0;1;3;1;1;5;8;0;0;5;161;27;2;4;2;7;0
1146;1;0;6;0;0;0;3;0;0;15;31;3;2;2;1;3,5;0
1146;0;2;2;1;1;5;5;0;0;24;217;97;2;4;3;10,5;0
1146;1;0;6;0;0;0;8;0;0;2;10;0;2;3;0;0;0
1146;1;2;2;5;3;2;5;0;1;32;61;28;2;6;2;7;0
1146;1;0;6;0;0;0;5;0;0;15;50;6;2;3;1;3,5;0
1146;0;2;2;1;1;5;11;0;0;80;209;81;2;3;2;7;0
1146;0;1;2;1;1;3;8;0;0;12;72;28;3;2;1;3,5;0
1146;1;0;6;0;0;0;5;0;0;6;25;4;3;1;1;3,5;0
1146;1;1;2;2;1;5;7;0;0;50;454;62;3;4;2;7;0
1146;1;1;2;1;908;5;7;0;0;30;108;29;3;3;2;7;0
1146;1;1;2;1;1;5;13;0;0;40;213;59;3;4;3;10,5;0
1146;1;0;5;0;0;0;7;0;0;1;25;4;3;2;1;3,5;0
1146;1;1;3;2;2;3;2;0;1;100;502;152;4;4;5;17,5;1
1146;0;2;2;1;1;4;5;9;0;4;10;0;3;0;0;0;0
1146;1;0;6;0;0;0;3;0;0;20;59;9;4;1;1;3,5;0
1146;1;0;6;0;0;0;10;0;0;20;56;10;4;1;1;3,5;0
1146;1;0;6;0;0;0;2;0;0;50;115;42;4;1;1;3,5;0
1146;1;0;6;0;0;0;2;0;0;3;35;16;4;2;1;3,5;0
1146;1;2;2;1;1;5;7;0;0;9;42;8;4;2;1;3,5;0
1146;0;2;2;1;1;4;6;0;0;120;239;85;4;4;3;10,5;0
1146;1;0;6;0;0;0;3;0;0;2;11;3;4;1;1;3,5;0
1146;1;2;2;9;9;3;4;9;0;1;10;0;4;0;0;0;0
1146;0;2;2;1;1;5;7;0;0;6;197;76;4;3;2;7;0
1146;0;1;2;1;1;5;7;0;0;15;45;15;4;4;2;7;0
1146;0;2;2;2;1;3;3;9;0;3;10;0;4;0;0;0;0
1146;1;2;2;9;8;3;1;0;1;4;35;22;5;2;1;3,5;0
1146;1;2;2;5;2;3;3;0;1;2;38;13;5;4;1;3,5;0
1146;0;1;2;2;908;5;2;0;0;54;311;100;5;4;2;7;0
1146;0;2;2;3;1;3;10;0;0;100;292;109;5;4;3;10,5;0
1146;0;1;2;3;908;3;6;0;0;100;867;167;5;4;3;10,5;0
1146;0;1;2;1;1;5;8;0;0;28;115;24;5;1;1;3,5;0
1146;0;2;2;1;1;5;6;0;0;50;263;142;5;4;2;7;0
1146;1;1;2;1;1;5;7;0;0;18;77;19;5;4;2;7;0
1146;0;0;6;0;0;0;6;0;0;10;59;21;5;1;1;3,5;0
1146;1;1;2;1;1;5;6;0;0;40;161;21;5;4;2;7;0
1146;1;0;6;0;0;0;7;0;0;6;30;14;5;1;1;3,5;0
1146;1;1;2;1;1;4;5;0;0;10;69;39;5;4;1;3,5;0
1146;1;1;2;1;1;5;2;0;0;24;95;40;5;4;2;7;0
1146;0;1;2;1;1;5;13;0;0;14;127;28;5;3;2;7;0
1146;0;2;2;9;1;3;2;0;1;10;19;11;5;4;1;3,5;0
1146;0;2;2;2;2;5;12;0;0;64;837;186;5;6;2;7;0
1146;0;1;1;1;1;4;6;0;0;2;22;6;6;1;1;3,5;0
1146;0;1;2;1;1;4;4;0;0;8;59;7;6;3;1;3,5;0
1146;1;0;5;0;0;0;8;0;0;1;10;0;6;1;0;0;0
1146;0;1;2;1;1;5;5;0;0;12;72;12;6;4;2;7;0
1146;1;1;2;1;1;4;7;0;0;8;99;37;6;3;1;3,5;0
